Annual,"Group 3, category E - active substances candidates for substitution not classified as carcinogenic category 1A or 1B and/or toxic for reproduction category 1A or 1B and/or endocrine disruptors","Index, 2011-2013 average =100",European Union - 27 countries (from 2020),100.0,97.0,103.0,105.0,107.0,112.0,104.0,107.0,94.0,89.0,97.0,92.0
Annual,"Group 3, category E - active substances candidates for substitution not classified as carcinogenic category 1A or 1B and/or toxic for reproduction category 1A or 1B and/or endocrine disruptors","Index, 2011-2013 average =100",European Union - 28 countries (2013-2020),102.0,98.0,100.0,103.0,106.0,109.0,102.0,105.0,91.0,:,:,:
Annual,"Group 3, category F - active substances candidates for substitution classified as carcinogenic category 1A or 1B and/or toxic for reproduction category 1A or 1B and/or endocrine disruptors, where exposure of humans is negligible","Index, 2011-2013 average =100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",114.0,98.0,87.0,103.0,109.0,104.0,135.0,151.0,139.0,137.0,146.0,147.0
Annual,"Group 3, category F - active substances candidates for substitution classified as carcinogenic category 1A or 1B and/or toxic for reproduction category 1A or 1B and/or endocrine disruptors, where exposure of humans is negligible","Index, 2011-2013 average =100",European Union - 27 countries (from 2020),110.0,96.0,94.0,108.0,116.0,111.0,145.0,161.0,147.0,137.0,146.0,156.0
Annual,"Group 3, category F - active substances candidates for substitution classified as carcinogenic category 1A or 1B and/or toxic for reproduction category 1A or 1B and/or endocrine disruptors, where exposure of humans is negligible","Index, 2011-2013 average =100",European Union - 28 countries (2013-2020),114.0,98.0,87.0,103.0,109.0,104.0,135.0,151.0,139.0,:,:,:
Annual,Group 4 - non-approved active substances,"Index, 2011-2013 average =100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",114.0,99.0,87.0,92.0,94.0,82.0,70.0,67.0,64.0,36.0,20.0,6.0
Annual,Group 4 - non-approved active substances,"Index, 2011-2013 average =100",European Union - 27 countries (from 2020),113.0,98.0,89.0,92.0,94.0,82.0,69.0,67.0,64.0,36.0,20.0,6.0
Annual,Group 4 - non-approved active substances,"Index, 2011-2013 average =100",European Union - 28 countries (2013-2020),114.0,99.0,87.0,92.0,94.0,82.0,70.0,67.0,64.0,:,:,:
Annual,"Group 4, category G - non-approved active substances","Index, 2011-2013 average =100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",114.0,99.0,87.0,92.0,94.0,82.0,70.0,67.0,64.0,36.0,20.0,6.0
Annual,"Group 4, category G - non-approved active substances","Index, 2011-2013 average =100",European Union - 27 countries (from 2020),113.0,98.0,89.0,92.0,94.0,82.0,69.0,67.0,64.0,36.0,20.0,6.0
Annual,"Group 4, category G - non-approved active substances","Index, 2011-2013 average =100",European Union - 28 countries (2013-2020),114.0,99.0,87.0,92.0,94.0,82.0,70.0,67.0,64.0,:,:,:
